Year/Ports,Petroleum Oil Lubricant(POL) & other Products,Iron Ore,Building Material,Coal,Fertilizer & F.R.M,Others,Total Cargo Handled
1959-60,0,0,0,0,0,0,2132
1960-61,0,0,0,0,0,0,2384
1961-62,0,0,0,0,0,0,2468
1962-63,0,0,0,0,0,0,3028
1963-64,0,0,0,0,0,0,3146
1964-65,0,0,0,0,0,0,3194
1965-66,0,0,0,0,0,0,3263
1966-67,0,0,0,99,336,3135,3570
1967-68,0,0,0,69,608,2954,3631
1968-69,0,0,0,129,482,3087,3698
1969-70,0,0,0,157,506,2618,3281
1970-71,0,0,0,28,197,2441,2666
1971-72,0,0,0,0,0,2976,2976
1972-73,0,0,0,211,183,2601,2995
1973-74,162,0,350,124,233,1954,2823
1974-75,22,111,556,0,393,1944,3026
1975-76,22,0,519,141,355,2065,3102
1976-77,15,0,752,166,112,1783,2828
1977-78,22,0,477,175,189,1182,2045
1978-79,60,0,286,108,431,1192,2077
1979-80,79,0,243,22,800,1316,2460
1980-81,133,0,142,74,1094,1337,2780
1981-82,95,0,81,175,920,1717,2988
1982-83,67,0,110,147,524,2334,3182
1983-84,69,4,27,0,704,3129,3933
1984-85,41,89,447,0,1927,2045,4549
1985-86,68,8,1247,7,2025,1210,4565
1986-87,0,0,998,0,1637,1854,4489
1987-88,0,0,1204,0,919,1771,3894
1988-89,0,0,1178,0,1545,2624,5347
1989-90,0,0,1099,0,1760,3768,6627
1990-91,0,201,1404,0,1669,6039,9313
1991-92,0,196,1357,0,1276,7467,10296
1992-93,0,2075,1438,231,2113,6027,11884
1993-94,3662,2335,2231,328,1538,5651,15745
1994-95,2644,3181,3303,997,1206,5612,16943
1995-96,2673,1860,3271,1679,1460,7538,18481
1996-97,3772,2519,3236,2062,1393,6876,19858
1997-98,6432,3208,4915,3654,1933,7573,27715
1998-99,3740,2828,5077,4357,1846,5074,22922
1999-00,23738,3363,5808,6034,2420,5334,46697
2000-01,42736,2313,7930,8788,1910,7582,71259
2001-02,48496,3046,7987,7826,1988,10192,79535
2002-03,48852,3439,9691,8762,1894,8923,81561
2003-04,52538,4232,11226,6500,1969,10867,87332
2004-05,56479,4052,11512,9926,2342,11830,96141
2005-06,60149,5191,11000,10541,3636,13010,103527
2006-07,71159,5713,11231,11306,4208,27648,131265
2007-08,80484,6076,12430,13313,4361,33857,150521
2008-09,87382,5900,9585,16464,5092,28388,152811
2009-10,132817,6845,9321,21636,5021,29943,205583
2010-11,140874,7156,8798,29731,6085,38263,230907
2011-12,151487,6919,9022,38372,7185,46065,259050
2012-13,165137,7636,8408,54337,6418,45881,287817
2013-14,165578,5169,10002,65759,5950,57487,309945
2014-15 ,163631,5632,8925,79987,7529,70391,336095
2015-16 ,174875,7511,9075,65903,10331,72083,339778
2016-17 ,180315,9379,9730,62421,8704,75190,345739
2017-18 ,188465,11584,10509,65962,5475,88774,370769
2018-19 ,186734,14019,10536,76772,7194,103941,399197
2019-20,190701,14996,10208,77974,8152,109760,411791
